Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Area,Price_Zone
"Block L, Bashundhara R-A",1850,4,4,23000,23.8206417,90.4490575,Bashundhara R-A,High
"Block K, Baridhara",1500,2,2,115000,23.8028731,90.420766,Baridhara,High
"Block K, Baridhara",3900,5,5,400000,23.8028731,90.420766,Baridhara,High
"South Khulshi, Khulshi",1550,3,3,30000,22.3587138,91.8108977,Khulshi,Low
"South Banasree Project, Banasree",2200,3,3,30000,23.7634571,90.4272592,Banasree,Medium
"Gulshan 2, Gulshan",5400,5,5,500000,23.7947536,90.4143085,Gulshan,High
"Block K, Bashundhara R-A",1250,3,3,20000,23.8228845,90.4449304,Bashundhara R-A,High
"Block G, Bashundhara R-A",1530,3,3,30000,23.8244052,90.433141,Bashundhara R-A,High
"Sector 9, Uttara",1200,3,3,50000,23.8772975,90.3972052,Uttara,Medium
"Block K, Baridhara",4000,4,4,420000,23.8028731,90.420766,Baridhara,High
"Lake Circus Road, Kalabagan",1135,3,3,32000,23.7504963,90.3816811,Kalabagan,Medium
"Block J, Baridhara",2000,4,4,45000,23.7976561,90.4248906,Baridhara,High
"Block A, Bashundhara R-A",1887,4,4,38000,23.8136688,90.4295717,Bashundhara R-A,High
"Block F, Bashundhara R-A",1800,3,3,40000,23.820682,90.4349092,Bashundhara R-A,High
"Mansurabad Housing Society, Adabor",1300,3,3,23000,23.7754356,90.3523821,Adabor,Medium
"Block D, Aftab Nagar",1400,4,4,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Sector 12, Uttara",2600,4,4,125000,23.8713904,90.380721,Uttara,Medium
"Sector 4, Uttara",2000,3,3,65000,23.8624077,90.4042719,Uttara,Medium
"Nasirabad Properties Residential Area, Khulshi",2100,4,4,30000,22.3586885,91.8141603,Khulshi,Low
"Nasirabad Housing Society, Muradpur",1230,3,3,23000,22.3650739,91.8276288,Muradpur,Medium
"Block J, Bashundhara R-A",1250,3,3,25000,23.8228913,90.4425723,Bashundhara R-A,High
"Block J, Bashundhara R-A",1250,3,3,20000,23.8228913,90.4425723,Bashundhara R-A,High
"Block K, Baridhara",6300,5,5,350000,23.8028731,90.420766,Baridhara,High
"North Khulshi, Khulshi",1775,3,3,45000,22.3589004,91.8125895,Khulshi,Low
"Block A, Bashundhara R-A",1890,4,4,38000,23.8136688,90.4295717,Bashundhara R-A,High
"Block G, Bashundhara R-A",1500,3,3,25000,23.8244052,90.433141,Bashundhara R-A,High
"Block E, Aftab Nagar",1300,3,3,22000,23.7641281,90.4466991,Aftab Nagar,Medium
"Paikpara, Mirpur",1250,3,3,20000,23.7881532,90.3595372,Mirpur,Low
"Block K, Bashundhara R-A",1250,3,3,23000,23.8228845,90.4449304,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",900,2,2,22000,23.7680904,90.3518903,Mohammadpur,Medium
"South Banasree Project, Banasree",2200,3,3,30000,23.7634571,90.4272592,Banasree,Medium
"Block K, Baridhara",3305,4,4,200000,23.8028731,90.420766,Baridhara,High
"Block K, Bashundhara R-A",1350,3,3,20000,23.8228845,90.4449304,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",1250,3,3,21000,23.7680904,90.3518903,Mohammadpur,Medium
"Block C, Aftab Nagar",1590,4,4,27000,23.7610623,90.4302394,Aftab Nagar,Medium
"Baitul Aman Housing Society, Adabor",1200,3,3,20000,23.7734642,90.3580005,Adabor,Medium
"Gulshan 2, Gulshan",4000,4,4,220000,23.7947536,90.4143085,Gulshan,High
"Lake Circus Road, Kalabagan",1200,3,3,30000,23.7504963,90.3816811,Kalabagan,Medium
"Gulshan 2, Gulshan",3100,5,5,250000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",2900,3,3,200000,23.8028731,90.420766,Baridhara,High
"Sector 6, Uttara",1600,3,3,50000,23.8713307,90.4042719,Uttara,Medium
"Gulshan 2, Gulshan",5550,4,4,400000,23.7947536,90.4143085,Gulshan,High
"Sector 9, Uttara",1780,4,4,40000,23.8772975,90.3972052,Uttara,Medium
"Block C, Bashundhara R-A",1784,4,4,45000,23.8184723,90.4272477,Bashundhara R-A,High
"Block K, Baridhara",3000,4,4,250000,23.8028731,90.420766,Baridhara,High
"West Khulshi, 9 No. North Pahartali Ward",1250,3,3,20000,22.3662719,91.8019761,9 No. North Pahartali Ward,Medium
"Gulshan 2, Gulshan",2850,4,4,140000,23.7947536,90.4143085,Gulshan,High
"PC Culture Housing, Mohammadpur",1250,3,3,24000,23.7680904,90.3518903,Mohammadpur,Medium
"Block C, Bashundhara R-A",2200,5,5,90000,23.8184723,90.4272477,Bashundhara R-A,High
"Nasirabad Housing Society, Muradpur",2000,3,3,40000,22.3650739,91.8276288,Muradpur,Medium
"Gulshan 1, Gulshan",3000,4,4,180000,23.7820624,90.4160527,Gulshan,High
"Block E, Banasree",1400,3,3,30000,23.7619353,90.433141,Banasree,Medium
"Block C, Bashundhara R-A",1041,3,3,55000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 1, Gulshan",2000,2,2,110000,23.7820624,90.4160527,Gulshan,High
"Nasirabad Housing Society, Muradpur",2000,3,3,40000,22.3650739,91.8276288,Muradpur,Medium
"Gulshan 1, Gulshan",2000,3,3,90000,23.7820624,90.4160527,Gulshan,High
"Block C, Bashundhara R-A",1150,3,3,35000,23.8184723,90.4272477,Bashundhara R-A,High
"Al-Falah Housing Society, East Nasirabad",1600,3,3,25000,22.3666884,91.8222493,East Nasirabad,Medium
"Khilji Road, Mohammadpur",1100,3,3,36000,23.7725863,90.3664742,Mohammadpur,Medium
"West Khulshi, 9 No. North Pahartali Ward",1250,3,3,20000,22.3662719,91.8019761,9 No. North Pahartali Ward,Medium
"Block K, Baridhara",3000,4,4,350000,23.8028731,90.420766,Baridhara,High
"Block C, Bashundhara R-A",1650,3,3,27000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 2, Gulshan",2200,4,4,160000,23.7947536,90.4143085,Gulshan,High
"Block C, Bashundhara R-A",1650,4,4,36000,23.8184723,90.4272477,Bashundhara R-A,High
"Mohammadi Housing LTD., Mohammadpur",1250,2,2,24000,23.7627707,90.35188,Mohammadpur,Medium
"Gulshan 1, Gulshan",3700,4,4,280000,23.7820624,90.4160527,Gulshan,High
"Baitul Aman Housing Society, Adabor",1200,3,3,21000,23.7734642,90.3580005,Adabor,Medium
"Block K, Baridhara",3000,4,4,215000,23.8028731,90.420766,Baridhara,High
"Block K, Baridhara",3800,5,5,250000,23.8028731,90.420766,Baridhara,High
"Block C, Bashundhara R-A",2180,4,4,80000,23.8184723,90.4272477,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",1050,2,2,20000,23.7680904,90.3518903,Mohammadpur,Medium
"Gulshan 1, Gulshan",3343,4,4,140000,23.7820624,90.4160527,Gulshan,High
"1 No Railway Gate, Muradpur",1350,3,3,22000,22.54285911,91.64187044,Muradpur,Medium
"Block G, Bashundhara R-A",1800,4,4,75000,23.8244052,90.433141,Bashundhara R-A,High
"Kallyanpur, Mirpur",1250,3,3,20000,23.7822036,90.3595372,Mirpur,Low
"Block K, Bashundhara R-A",1200,3,3,20000,23.8228845,90.4449304,Bashundhara R-A,High
"Block K, Baridhara",2550,5,5,140000,23.8028731,90.420766,Baridhara,High
"Gulshan 2, Gulshan",5500,5,5,500000,23.7947536,90.4143085,Gulshan,High
"Gulshan 1, Gulshan",1800,3,3,90000,23.7820624,90.4160527,Gulshan,High
"Block L, Bashundhara R-A",1500,3,3,25000,23.8206417,90.4490575,Bashundhara R-A,High
"South Khulshi, Khulshi",2500,4,4,38000,22.3587138,91.8108977,Khulshi,Low
"Gulshan 1, Gulshan",3500,4,4,250000,23.7820624,90.4160527,Gulshan,High
"Block C, Bashundhara R-A",1600,3,3,80000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1400,3,3,25000,23.8184723,90.4272477,Bashundhara R-A,High
"Nasirabad Housing Society, Muradpur",1600,3,3,30000,22.3650739,91.8276288,Muradpur,Medium
"Block E, Aftab Nagar",1400,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"South Khulshi, Khulshi",1300,3,3,25000,22.3587138,91.8108977,Khulshi,Low
"Gulshan 1, Gulshan",2500,4,4,250000,23.7820624,90.4160527,Gulshan,High
"Block K, Baridhara",1700,3,3,110000,23.8028731,90.420766,Baridhara,High
"Outer Circular Road, Maghbazar",1589,3,3,35000,23.7485069,90.408629,Maghbazar,Medium
"Block K, Baridhara",3200,4,4,250000,23.8028731,90.420766,Baridhara,High
"Block C, Bashundhara R-A",3500,4,4,300000,23.8184723,90.4272477,Bashundhara R-A,High
"Block D, Banasree",1800,3,3,55000,23.7619353,90.433141,Banasree,Medium
"Block G, Banasree",1485,3,3,24000,23.7619353,90.433141,Banasree,Medium
"Block K, Baridhara",4500,4,4,450000,23.8028731,90.420766,Baridhara,High
"Gulshan 1, Gulshan",3100,3,3,200000,23.7820624,90.4160527,Gulshan,High
"Block C, Bashundhara R-A",1400,3,3,27000,23.8184723,90.4272477,Bashundhara R-A,High
"South Khulshi, Khulshi",1400,3,3,30000,22.3587138,91.8108977,Khulshi,Low
"South Khulshi, Khulshi",2600,3,3,75000,22.3587138,91.8108977,Khulshi,Low
"Block K, Baridhara",4400,4,4,270000,23.8028731,90.420766,Baridhara,High
"Sector 12, Uttara",1500,3,3,30000,23.8713904,90.380721,Uttara,Medium
"West Rampura, Rampura",970,2,2,26000,23.7642132,90.4160527,Rampura,Low
"Shahjadpur, Badda",1200,3,3,24000,23.7917066,90.4248906,Badda,Low
"Nobodoy Housing Society, Mohammadpur",1100,3,3,20000,23.7640006,90.3515962,Mohammadpur,Medium
"Baitul Aman Housing Society, Adabor",1442,3,3,20000,23.7734642,90.3580005,Adabor,Medium
"Block C, Bashundhara R-A",2750,4,4,120000,23.8184723,90.4272477,Bashundhara R-A,High
"Block K, Baridhara",3500,4,4,270000,23.8028731,90.420766,Baridhara,High
"Block E, Bashundhara R-A",1515,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Tajmahal Road, Mohammadpur",1350,3,3,40000,23.764683,90.3621536,Mohammadpur,Medium
"Tajmahal Road, Mohammadpur",870,2,2,22000,23.764683,90.3621536,Mohammadpur,Medium
"Kallyanpur, Mirpur",1216,3,3,24000,23.7822036,90.3595372,Mirpur,Low
"West Khulshi, 9 No. North Pahartali Ward",1250,3,3,20000,22.3662719,91.8019761,9 No. North Pahartali Ward,Medium
"Sector 14, Uttara",1100,2,2,35000,23.8676564,90.3871961,Uttara,Medium
"Road No 4, Baridhara DOHS",2600,5,5,120000,23.8137806,90.4134731,Baridhara DOHS,Medium
"Gulshan 2, Gulshan",3000,4,4,111000,23.7947536,90.4143085,Gulshan,High
"Block C, Bashundhara R-A",1800,3,3,35000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1300,3,3,25000,23.8184723,90.4272477,Bashundhara R-A,High
"Mirpur Road, Shyamoli",1500,3,3,26000,23.7743581,90.3661009,Shyamoli,Medium
"Baitul Aman Housing Society, Adabor",1550,3,3,30000,23.7734642,90.3580005,Adabor,Medium
"Block J, Bashundhara R-A",1300,3,3,23000,23.8228913,90.4425723,Bashundhara R-A,High
"Road No 2, Shyamoli",1750,4,4,27000,23.7746403,90.3659936,Shyamoli,Medium
"Block J, Bashundhara R-A",1250,3,3,25000,23.8228913,90.4425723,Bashundhara R-A,High
"Block H, Aftab Nagar",1600,3,3,26000,24.9380265,67.0479484,Aftab Nagar,Medium
"Block D, Bashundhara R-A",1800,3,3,42000,23.8154814,90.433141,Bashundhara R-A,High
"Sector 6, Uttara",2200,4,4,55000,23.8713307,90.4042719,Uttara,Medium
"Gulshan 2, Gulshan",2400,4,4,130000,23.7947536,90.4143085,Gulshan,High
"North Khulshi, Khulshi",1600,3,3,60000,22.3589004,91.8125895,Khulshi,Low
"Mohammadia Housing Society, Mohammadpur",1250,3,3,22000,23.76362,90.3554194,Mohammadpur,Medium
"Block K, Baridhara",4200,4,4,280000,23.8028731,90.420766,Baridhara,High
"Uttar Badda, Badda",1350,3,3,24000,23.7820433,90.4231228,Badda,Low
"Sector 5, Uttara",1800,3,3,70000,23.8646732,90.3907284,Uttara,Medium
"Gulshan 2, Gulshan",2000,3,3,100000,23.7947536,90.4143085,Gulshan,High
"South Khulshi, Khulshi",1650,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Purana Paltan, Motijheel",1200,3,3,30000,23.7322458,90.4107509,Motijheel,Medium
"Block C, Bashundhara R-A",1500,4,4,25000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1463,4,4,30000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1550,3,3,45000,23.8184723,90.4272477,Bashundhara R-A,High
"Block E, Banasree",1350,3,3,30000,23.7619353,90.433141,Banasree,Medium
"Baitul Aman Housing Society, Adabor",1400,3,3,28000,23.7734642,90.3580005,Adabor,Medium
"Baitul Aman Housing Society, Adabor",1250,3,3,22000,23.7734642,90.3580005,Adabor,Medium
"Block C, Bashundhara R-A",1550,3,3,60000,23.8184723,90.4272477,Bashundhara R-A,High
"North Khulshi, Khulshi",2300,4,4,60000,22.3589004,91.8125895,Khulshi,Low
"Block K, Baridhara",3200,4,4,240000,23.8028731,90.420766,Baridhara,High
"Block K, Baridhara",4550,4,4,350000,23.8028731,90.420766,Baridhara,High
"Pirerbag, Mirpur",1700,4,4,30000,23.7911115,90.3665972,Mirpur,Low
"Block C, Bashundhara R-A",1800,4,4,100000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1500,3,3,30000,23.8184723,90.4272477,Bashundhara R-A,High
"Block B, Aftab Nagar",1600,3,3,30000,23.7641281,90.4466991,Aftab Nagar,Medium
"Humayun Road, Mohammadpur",1050,2,2,24000,23.7673797,90.3647735,Mohammadpur,Medium
"Block C, Bashundhara R-A",1700,3,3,20000,23.8184723,90.4272477,Bashundhara R-A,High
"Bizlymoholla Road, Mohammadpur",1190,2,2,22000,23.7701957,90.3608695,Mohammadpur,Medium
"Block B, Bashundhara R-A",1500,4,4,32000,23.8140104,90.4272477,Bashundhara R-A,High
"Gulshan 2, Gulshan",3740,5,5,240000,23.7947536,90.4143085,Gulshan,High
"Gulshan 1, Gulshan",2200,4,4,90000,23.7820624,90.4160527,Gulshan,High
"Katashur, Mohammadpur",1400,3,3,24000,23.7546518,90.3617512,Mohammadpur,Medium
"Tajmahal Road, Mohammadpur",870,2,2,22000,23.764683,90.3621536,Mohammadpur,Medium
"Gulshan 1, Gulshan",2600,4,4,220000,23.7820624,90.4160527,Gulshan,High
"Block C, Bashundhara R-A",1150,2,2,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Pirerbag, Mirpur",1350,3,3,25000,23.7911115,90.3665972,Mirpur,Low
"Block C, Bashundhara R-A",1100,2,2,38500,23.8184723,90.4272477,Bashundhara R-A,High
"Road No 4, Baridhara",4000,4,4,400000,23.8022251,90.420055,Baridhara,High
"Gulshan 1, Gulshan",2000,3,3,100000,23.7820624,90.4160527,Gulshan,High
"PC Culture Housing, Mohammadpur",1450,3,3,25000,23.7680904,90.3518903,Mohammadpur,Medium
"Bizlymoholla Road, Mohammadpur",1390,2,2,24000,23.7701957,90.3608695,Mohammadpur,Medium
"Dolphin Goli Road, Kalabagan",1500,3,3,45000,23.7509539,90.3800274,Kalabagan,Medium
"Gulshan 1, Gulshan",2600,4,4,200000,23.7820624,90.4160527,Gulshan,High
"Baitul Aman Housing Society, Adabor",1200,2,2,20000,23.7734642,90.3580005,Adabor,Medium
"Road No 4, Baridhara",4000,4,4,400000,23.8022251,90.420055,Baridhara,High
"Baitul Aman Housing Society, Adabor",1456,3,3,23000,23.7734642,90.3580005,Adabor,Medium
"Gulshan 2, Gulshan",4000,5,5,150000,23.7947536,90.4143085,Gulshan,High
"Mohammadi Housing LTD., Mohammadpur",1050,2,2,22000,23.7627707,90.35188,Mohammadpur,Medium
"Gulshan 2, Gulshan",2800,3,3,110000,23.7947536,90.4143085,Gulshan,High
"Humayun Road, Mohammadpur",1050,2,2,30000,23.7673797,90.3647735,Mohammadpur,Medium
"Section 1, Mirpur",1255,3,3,20000,23.8015639,90.3489496,Mirpur,Low
"Nasirabad, 15 No. Bagmoniram Ward",1900,5,5,50000,22.3608208,91.8233007,15 No. Bagmoniram Ward,Medium
"Block F, Banasree",1495,3,3,32000,23.7604313,90.4390353,Banasree,Medium
"Block K, Baridhara",3200,4,4,235000,23.8028731,90.420766,Baridhara,High
"Block G, Bashundhara R-A",2200,4,4,36000,23.8244052,90.433141,Bashundhara R-A,High
"Block I Extension, Bashundhara R-A",2400,4,4,50000,23.8206687,90.4396248,Bashundhara R-A,High
"Gulshan 1, Gulshan",2150,4,4,110000,23.7820624,90.4160527,Gulshan,High
"South Khulshi, Khulshi",2000,3,3,100000,22.3587138,91.8108977,Khulshi,Low
"Bizlymoholla Road, Mohammadpur",1390,3,3,25000,23.7701957,90.3608695,Mohammadpur,Medium
"Block K, Baridhara",3000,4,4,120000,23.8028731,90.420766,Baridhara,High
"Sector 12, Uttara",2200,6,6,60000,23.8713904,90.380721,Uttara,Medium
"Block C, Bashundhara R-A",1300,3,3,60000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 7, Uttara",1200,2,2,30000,23.871349,90.3972052,Uttara,Medium
"Sector 12, Uttara",1500,3,3,55000,23.8713904,90.380721,Uttara,Medium
"North Goran, Goran, Khilgaon, Khilgaon",1100,2,2,20000,23.7519115,90.4323094,Khilgaon,Low
"Sector 6, Uttara",2150,4,4,100000,23.8713307,90.4042719,Uttara,Medium
"Khilgaon Chowrasta,  Dhaka
                                North Goran, Goran, Khilgaon, Khilgaon",1100,2,2,21000,23.7519115,90.4323094,Khilgaon,Low
"Sector 12, Uttara",950,2,2,40000,23.8713904,90.380721,Uttara,Medium
"Block D, Bashundhara R-A",2200,3,3,50000,23.8154814,90.433141,Bashundhara R-A,High
"Block C, Bashundhara R-A",1300,3,3,30000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 12, Uttara",950,2,2,30000,23.8713904,90.380721,Uttara,Medium
"Sector 13, Uttara",1500,3,3,35000,23.8713728,90.3877848,Uttara,Medium
"Block A, Bashundhara R-A",2150,5,5,33000,23.8136688,90.4295717,Bashundhara R-A,High
"aziz Moholla, Mohammadpur",1200,2,2,20000,23.7661386,90.3587745,Mohammadpur,Medium
"Baitul Aman Housing Society, Adabor",1300,3,3,21000,23.7734642,90.3580005,Adabor,Medium
"Block C, Bashundhara R-A",1100,2,2,20000,23.8184723,90.4272477,Bashundhara R-A,High
"Block E, Bashundhara R-A",1975,4,4,48000,23.8110194,90.433141,Bashundhara R-A,High
"Block C, Aftab Nagar",1100,2,2,22000,23.7610623,90.4302394,Aftab Nagar,Medium
"Sector 7, Uttara",2145,3,3,80000,23.871349,90.3972052,Uttara,Medium
"Block J, Bashundhara R-A",2500,4,4,50000,23.8228913,90.4425723,Bashundhara R-A,High
"Sector 6, Uttara",3100,4,4,63000,23.8713307,90.4042719,Uttara,Medium
"Block C, Bashundhara R-A",1296,3,3,20000,23.8184723,90.4272477,Bashundhara R-A,High
"Poribagh Road Number 2, Paribagh",1600,3,3,35000,23.7426246,90.3941669,Paribagh,Medium
"Block E, Aftab Nagar",1600,3,3,30000,23.7641281,90.4466991,Aftab Nagar,Medium
"Free School Street, Kathalbagan",1600,3,3,35000,23.745521,90.3896983,Kathalbagan,Medium
"Patharghata, Kotwali",1050,2,2,22000,22.3337879,91.8428065,Kotwali,Medium
"Gulshan 2, Gulshan",3554,5,5,240000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",3000,4,4,140000,23.8028731,90.420766,Baridhara,High
"24 No. North Agrabad Ward, Double Mooring",1250,3,3,20000,22.3327212,91.8050218,Double Mooring,Medium
"PC Culture Housing, Mohammadpur",1450,3,3,25000,23.7680904,90.3518903,Mohammadpur,Medium
"Block C, Bashundhara R-A",1650,3,3,32000,23.8184723,90.4272477,Bashundhara R-A,High
"Block J, Bashundhara R-A",2500,4,4,50000,23.8228913,90.4425723,Bashundhara R-A,High
"Babar Road, Mohammadpur",1250,3,3,30000,23.7699684,90.366231,Mohammadpur,Medium
"Sector 13, Uttara",2500,5,5,35000,23.8713728,90.3877848,Uttara,Medium
"Road No 4, Baridhara DOHS",2600,4,4,110000,23.8137806,90.4134731,Baridhara DOHS,Medium
"Gulshan 2, Gulshan",1500,3,3,200000,23.7947536,90.4143085,Gulshan,High
"South Banasree Project, Banasree",2250,3,3,26000,23.7634571,90.4272592,Banasree,Medium
"Block K, Baridhara",2200,3,3,110000,23.8028731,90.420766,Baridhara,High
"Block G, Bashundhara R-A",1500,3,3,25000,23.8244052,90.433141,Bashundhara R-A,High
"Baitul Aman Housing Society, Adabor",1400,3,3,25000,23.7734642,90.3580005,Adabor,Medium
"Gulshan 2, Gulshan",3000,4,4,150000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",2300,3,3,85000,23.8028731,90.420766,Baridhara,High
"Govt Girls High School Road, East Nasirabad",1800,3,3,27000,22.3692903,91.8206016,East Nasirabad,Medium
"Road No 1, Jalalabad Housing Society",1450,3,3,20000,22.3707543,91.8007579,Jalalabad Housing Society,Medium
"Gulshan 2, Gulshan",3200,4,4,200000,23.7947536,90.4143085,Gulshan,High
"Babar Road, Mohammadpur",1800,4,4,33000,23.7699684,90.366231,Mohammadpur,Medium
"Baitul Aman Housing Society, Adabor",1640,3,3,30000,23.7734642,90.3580005,Adabor,Medium
"South Badda, Badda",1375,3,3,30000,23.7753515,90.4225336,Badda,Low
"South Khulshi, Khulshi",1650,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Chowdhuripara, Khilgaon",1250,3,3,28000,23.7537913,90.4195876,Khilgaon,Low
"Block G, Aftab Nagar",1400,3,3,20000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block G, Banasree",1400,3,3,25000,23.7619353,90.433141,Banasree,Medium
"Block C, Bashundhara R-A",3500,5,5,50000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Aftab Nagar",2300,4,4,55000,23.7610623,90.4302394,Aftab Nagar,Medium
"Block E, Aftab Nagar",1000,2,2,22000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block C, Bashundhara R-A",1200,2,2,26000,23.8184723,90.4272477,Bashundhara R-A,High
"Block G, Aftab Nagar",1400,3,3,20000,23.7641281,90.4466991,Aftab Nagar,Medium
"Shahjadpur, Badda",1700,3,3,35000,23.7917066,90.4248906,Badda,Low
"Block B, Banasree",1200,3,3,24000,23.7619353,90.433141,Banasree,Medium
"Uttar Badda, Badda",1150,3,3,20000,23.7820433,90.4231228,Badda,Low
"Block F, Aftab Nagar",1350,3,3,23000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block A, Aftab Nagar",900,2,2,20000,23.7641281,90.4466991,Aftab Nagar,Medium
"Gulshan 2, Gulshan",2200,4,4,150000,23.7947536,90.4143085,Gulshan,High
"South Khulshi, Khulshi",1650,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Block E, Bashundhara R-A",1510,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Khulshi Green Housing Society, Khulshi",1600,3,3,24000,22.3650356,91.8085473,Khulshi,Low
"Block G, Banasree",1400,3,3,25000,23.7619353,90.433141,Banasree,Medium
"Sector 4, Uttara",1995,3,3,45000,23.8624077,90.4042719,Uttara,Medium
"Block G, Banasree",1400,3,3,25000,23.7619353,90.433141,Banasree,Medium
"Block B, Aftab Nagar",1250,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block E, Bashundhara R-A",1480,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Block E, Bashundhara R-A",1420,3,3,50000,23.8110194,90.433141,Bashundhara R-A,High
"Block C, Bashundhara R-A",2350,4,4,66000,23.8184723,90.4272477,Bashundhara R-A,High
"Naya Paltan, Motijheel",1080,2,2,28000,23.7344694,90.4136962,Motijheel,Medium
"Nasirabad, 15 No. Bagmoniram Ward",1800,3,3,35000,22.3608208,91.8233007,15 No. Bagmoniram Ward,Medium
"Block E, Bashundhara R-A",1480,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Block E, Bashundhara R-A",1480,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Block C, Bashundhara R-A",1540,3,3,70000,23.8184723,90.4272477,Bashundhara R-A,High
"Block G, Bashundhara R-A",1500,3,3,30000,23.8244052,90.433141,Bashundhara R-A,High
"Block J, Bashundhara R-A",1250,3,3,25000,23.8228913,90.4425723,Bashundhara R-A,High
"Block F, Banasree",1600,3,3,25000,23.7604313,90.4390353,Banasree,Medium
"Block K, Baridhara",4000,4,4,420000,23.8028731,90.420766,Baridhara,High
"Block J, Banasree",950,2,2,21000,23.7619353,90.433141,Banasree,Medium
"Block L, Bashundhara R-A",1150,3,3,25000,23.8206417,90.4490575,Bashundhara R-A,High
"Block H, Bashundhara R-A",1550,3,3,28000,23.8258759,90.4390353,Bashundhara R-A,High
"Sector 11, Uttara",1900,3,3,25000,23.8773155,90.3901397,Uttara,Medium
"Block J, Banasree",950,2,2,21000,23.7619353,90.433141,Banasree,Medium
"Block C, Bashundhara R-A",1600,3,3,35000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 12, Uttara",950,2,2,20000,23.8713904,90.380721,Uttara,Medium
"Chawk Bazar, 16 No. Chawk Bazaar Ward",1900,3,3,41000,22.3517735,91.8330525,16 No. Chawk Bazaar Ward,Medium
"Block E, Aftab Nagar",1325,3,3,20000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block I, Bashundhara R-A",2100,4,4,40000,23.8206687,90.4396248,Bashundhara R-A,High
"Block E, Aftab Nagar",1680,3,3,27000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block J, Bashundhara R-A",2100,3,3,40000,23.8228913,90.4425723,Bashundhara R-A,High
"Block E, Banasree",1250,3,3,24000,23.7619353,90.433141,Banasree,Medium
"Khilbari Tek, Badda",1150,2,2,21000,23.7916903,90.4307836,Badda,Low
"Block G, Banasree",1500,4,4,32000,23.7619353,90.433141,Banasree,Medium
"Baitul Aman Housing Society, Adabor",1400,3,3,20000,23.7734642,90.3580005,Adabor,Medium
"Block C, Bashundhara R-A",2100,4,4,90000,23.8184723,90.4272477,Bashundhara R-A,High
"Block G, Banasree",1100,2,2,22000,23.7619353,90.433141,Banasree,Medium
"Block L, Bashundhara R-A",1150,3,3,25000,23.8206417,90.4490575,Bashundhara R-A,High
"Block K, Baridhara",3515,4,4,300000,23.8028731,90.420766,Baridhara,High
"Block D, Bashundhara R-A",2800,5,5,55000,23.8154814,90.433141,Bashundhara R-A,High
"Block L, Bashundhara R-A",1150,3,3,25000,23.8206417,90.4490575,Bashundhara R-A,High
"Gulshan 2, Gulshan",2700,4,4,200000,23.7947536,90.4143085,Gulshan,High
"Block G, Aftab Nagar",1150,3,3,20000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block E, Aftab Nagar",1430,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block G, Banasree",1100,2,2,22000,23.7619353,90.433141,Banasree,Medium
"Block C, Bashundhara R-A",1100,2,2,35000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 2, Gulshan",1550,3,3,90000,23.7947536,90.4143085,Gulshan,High
"Gulshan 2, Gulshan",4200,5,5,400000,23.7947536,90.4143085,Gulshan,High
"Uttar Badda, Badda",1100,3,3,22000,23.7820433,90.4231228,Badda,Low
"Block J, Bashundhara R-A",1250,3,3,25000,23.8228913,90.4425723,Bashundhara R-A,High
