Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Location_Label,Price_Zone,Price_Zone_Num,Distance_to_Center,Price_per_sqft,BedBath_Ratio,Price_per_Bedroom,Size_Category,Location_Cluster
"West Agargaon, Agargaon",1300,3,3,9750000,23.7807183,90.3693678,agargaon,Low,0,0.05230166012402525,7500.0,0.75,2437500.0,Medium,1
"Chattogram DOHS, Bayazid",1400,3,3,7000000,22.394706,91.8129373,bayazid,Low,0,1.991263670152026,5000.0,0.75,1750000.0,Medium,1
"Baitul Aman Housing Society, Adabor",1300,3,3,8190000,23.7734642,90.3580005,adabor,Low,0,0.0657804808578444,6300.0,0.75,2047500.0,Medium,1
"Dakkhin Paikpara, Mirpur",1332,3,3,5594400,23.7881532,90.35953719999999,mirpur,Medium,1,0.05740678473909157,4200.0,0.75,1398600.0,Medium,1
"Pirerbag, Mirpur",1800,4,4,7500000,23.7911115,90.3665972,mirpur,Medium,1,0.049752040964059545,4166.666666666667,0.8,1500000.0,Large,1
"West Shewrapara, Mirpur",1425,3,3,8537500,23.7881199,90.3736584,mirpur,Medium,1,0.044728366017213576,5991.228070175439,0.75,2134375.0,Medium,1
"Block J, Bashundhara R-A",2200,4,4,17500000,23.8228913,90.4425723,bashundhara r-a,Medium,1,0.03260190275091242,7954.545454545455,0.8,3500000.0,Large,0
"Baitul Aman Housing Society, Adabor",1175,2,2,6500000,23.7734642,90.3580005,adabor,Low,0,0.0657804808578444,5531.914893617021,0.6666666666666666,2166666.6666666665,Medium,1
"Block I, Bashundhara R-A",1360,3,3,10000000,23.8206687,90.43962479999999,bashundhara r-a,Medium,1,0.02903902055389801,7352.941176470588,0.75,2500000.0,Medium,1
"Block J, Bashundhara R-A",1860,3,3,12000000,23.8228913,90.4425723,bashundhara r-a,Medium,1,0.03260190275091242,6451.612903225807,0.75,3000000.0,Large,1
"Section 10, Mirpur",1365,3,3,7507500,23.8119234,90.3713045,mirpur,Medium,1,0.04122747442919648,5500.0,0.75,1876875.0,Medium,1
"26 No. North Halishahar Ward, Halishahar",1320,3,3,5544000,22.3287809,91.7745556,halishahar,Low,0,2.012484608924049,4200.0,0.75,1386000.0,Medium,1
"Bosila, Mohammadpur",1200,3,3,7500000,23.7550944,90.3589375,mohammadpur,Medium,1,0.07691943627984989,6250.0,0.75,1875000.0,Medium,1
"Block J, Bashundhara R-A",2156,3,3,17000000,23.8228913,90.4425723,bashundhara r-a,Medium,1,0.03260190275091242,7884.972170686457,0.75,4250000.0,Large,0
"Rasdia Mouza, Uttara",1165,2,2,8000000,23.8899605,90.3883735,uttara,High,2,0.0832339069280038,6866.9527896995705,0.6666666666666666,2666666.6666666665,Medium,1
"Block J, Bashundhara R-A",1800,4,4,15400000,23.8228913,90.4425723,bashundhara r-a,Medium,1,0.03260190275091242,8555.555555555555,0.8,3080000.0,Large,0
"Section 12, Mirpur",1300,4,4,8000000,23.8253064,90.37248149999999,mirpur,Medium,1,0.042739588009363054,6153.846153846154,0.8,1600000.0,Medium,1
"Section 10, Mirpur",1100,3,3,6000000,23.8119234,90.3713045,mirpur,Medium,1,0.04122747442919648,5454.545454545455,0.75,1500000.0,Medium,1
"Block J, Bashundhara R-A",2300,4,4,15000000,23.8228913,90.4425723,bashundhara r-a,Medium,1,0.03260190275091242,6521.739130434783,0.8,3000000.0,Large,0
"Green Valley, Bayazid",1370,3,3,6500000,22.37998,91.8083724,bayazid,Low,0,1.9985682523951416,4744.525547445255,0.75,1625000.0,Medium,1
"Pallabi, Mirpur",850,2,2,3300000,23.8223486,90.36542039999999,mirpur,Medium,1,0.048596887741092366,3882.3529411764707,0.6666666666666666,1100000.0,Medium,1
"Section 1, Mirpur",650,2,2,2100000,23.8015639,90.3489496,mirpur,Medium,1,0.06414805362105391,3230.769230769231,0.6666666666666666,700000.0,Small,1
"Rupnagar R/A, Mirpur",650,2,2,2400000,23.8085164,90.3558058,mirpur,Medium,1,0.05672224909680062,3692.3076923076924,0.6666666666666666,800000.0,Small,1
"School Road, Khilkhet",1125,3,3,5925000,23.8302872,90.4215646,khilkhet,Medium,1,0.021946642955131112,5266.666666666667,0.75,1481250.0,Medium,1
"Block F, Bashundhara R-A",2230,4,4,21200000,23.820682,90.43490919999999,bashundhara r-a,Medium,1,0.024697331204806904,9506.726457399103,0.8,4240000.0,Large,0
"Pallabi, Mirpur",1500,3,3,9500000,23.8223486,90.36542039999999,mirpur,Medium,1,0.048596887741092366,6333.333333333333,0.75,2375000.0,Medium,1
"Ali Nagar, Bayazid",1200,2,2,3600000,22.3786414,91.8281763,bayazid,Low,0,2.0134015330618134,3000.0,0.6666666666666666,1200000.0,Medium,1
"Block J, Bashundhara R-A",2300,4,4,15000000,23.8228913,90.4425723,bashundhara r-a,Medium,1,0.03260190275091242,6521.739130434783,0.8,3000000.0,Large,0
